person,admit,role,top100u,comp-rel-maj,worked-it-consult,worked-in-house,mbti.e,mbti.n,mbti.t,mbti.j,MBTI
1168,0,Dev,1,1,0,1,0,0,0,0,ISFP
1169,0,Dev,0,0,0,1,1,0,0,0,ESFP
1170,0,Dev,0,1,0,1,1,1,1,0,ENTP
1171,0,Dev,1,1,0,1,0,1,0,1,INFJ
1172,0,Dev,0,1,0,1,0,0,0,1,ISFJ
1173,0,Dev,1,1,0,1,1,1,1,0,ENTP
1174,0,Dev,0,1,0,0,1,0,1,1,ESTJ
1175,0,Dev,1,1,0,0,0,0,0,1,ISFJ
1176,0,Dev,1,1,0,0,0,0,0,1,ISFJ
1177,0,Dev,0,0,0,1,1,0,0,1,ESFJ
1178,0,Dev,0,0,0,1,0,0,1,1,ISTJ
1179,0,Dev,1,0,0,0,0,1,1,0,INTP
1180,0,Dev,0,1,1,1,0,0,0,1,ISFJ
1181,0,Dev,0,1,0,1,0,0,1,0,ISTP
1182,0,Dev,0,0,1,1,1,0,1,1,ESTJ
1183,0,Dev,0,0,0,0,0,0,0,1,ISFJ
1184,0,Dev,1,1,0,0,1,0,1,1,ESTJ
1185,0,Dev,0,1,0,1,0,0,0,0,ISFP
1186,0,Dev,0,1,1,1,1,0,0,0,ESFP
1187,0,Dev,0,1,0,0,1,1,0,0,ENFP
1188,0,Dev,0,0,0,0,1,0,0,0,ESFP
1189,0,Dev,1,1,0,1,0,0,0,1,ISFJ
1190,0,Dev,0,1,0,0,1,0,0,1,ESFJ
1191,0,Dev,1,1,0,1,0,0,1,1,ISTJ
2104,1,Dev,0,1,0,0,1,1,1,1,ENTJ
2105,1,Dev,0,1,0,1,0,1,1,0,INTP
2106,1,Dev,0,1,0,1,0,1,1,0,INTP
2107,1,Dev,0,1,0,0,1,1,1,0,ENTP
2108,1,Dev,0,1,0,1,0,0,1,1,ISTJ
2109,1,Dev,0,1,0,1,1,0,1,1,ESTJ
2110,1,Dev,0,1,1,0,0,1,0,0,INFP
2111,1,Dev,1,1,1,1,0,0,1,0,ISTP
2112,1,Dev,1,0,1,1,0,1,1,1,INTJ
2113,1,Dev,0,1,0,0,1,0,1,1,ESTJ
2114,1,Dev,0,0,0,1,0,0,1,1,ISTJ
2115,1,Dev,1,1,0,1,0,0,1,1,ISTJ
2116,1,Dev,0,1,1,1,0,0,1,0,ISTP
2117,1,Dev,0,1,0,0,1,0,1,1,ESTJ
2118,1,Dev,1,1,0,0,1,0,1,0,ESTP
2119,1,Dev,0,1,0,1,0,0,1,0,ISTP
2120,1,Dev,0,1,0,1,0,0,1,1,ISTJ
2121,1,Dev,0,1,0,0,0,0,1,0,ISTP
2122,1,Dev,1,1,1,0,0,0,1,1,ISTJ
2123,1,Dev,0,0,1,0,0,1,1,0,INTP
2124,1,Dev,1,1,0,0,0,0,1,1,ISTJ
2125,1,Dev,0,1,1,1,1,1,1,1,ENTJ
2126,0,Dev,1,0,0,1,0,0,0,1,ISFJ
2127,0,Dev,0,1,0,1,0,1,1,1,INTJ
2128,0,Dev,1,1,0,1,0,0,0,1,ISFJ
2129,0,Dev,0,1,0,0,0,0,0,1,ISFJ
2130,0,Dev,0,1,0,0,0,0,1,0,ISTP
2131,0,Dev,1,0,1,1,1,0,0,1,ESFJ
2132,0,Dev,0,0,0,1,1,0,0,1,ESFJ
2133,0,Dev,0,1,0,0,0,0,1,0,ISTP
2134,0,Dev,0,0,0,0,1,1,1,0,ENTP
2135,0,Dev,1,1,1,1,0,0,0,0,ISFP
2136,0,Dev,0,1,1,0,1,1,1,0,ENTP
2137,0,Dev,0,1,1,1,1,0,1,1,ESTJ
2138,0,Dev,0,1,0,1,0,0,0,0,ISFP
2139,0,Dev,0,1,1,0,1,0,0,1,ESFJ
2140,0,Dev,0,1,1,0,1,0,1,1,ESTJ
2141,0,Dev,0,1,1,0,1,0,0,1,ESFJ
2142,0,Dev,0,1,0,1,1,0,1,0,ESTP
2143,0,Dev,0,1,0,0,1,0,0,1,ESFJ
2144,0,Dev,1,1,0,0,1,0,0,0,ESFP
2145,0,Dev,0,0,1,1,0,0,0,1,ISFJ
2146,0,Dev,1,0,0,1,0,1,0,0,INFP
2147,0,Dev,0,1,0,1,1,1,1,0,ENTP
2148,0,Dev,0,1,0,0,0,0,0,1,ISFJ
2149,0,Dev,1,1,0,1,0,0,1,0,ISTP
2150,0,Dev,1,1,1,0,1,0,0,0,ESFP
2151,0,Dev,0,0,0,1,1,1,1,0,ENTP
2152,0,Dev,1,1,0,1,1,0,0,1,ESFJ
2153,0,Dev,0,1,0,0,1,1,1,0,ENTP
2154,0,Dev,0,0,0,0,1,1,0,0,ENFP
2155,0,Dev,0,1,0,1,1,1,0,0,ENFP
2156,0,Dev,1,1,0,1,1,0,1,1,ESTJ
2157,0,Dev,0,0,1,0,1,0,0,1,ESFJ
2158,0,Dev,0,0,0,1,0,1,0,0,INFP
2159,0,Dev,0,1,0,1,0,0,0,1,ISFJ
2160,0,Dev,0,0,0,1,0,0,0,1,ISFJ
2161,0,Dev,0,1,0,0,1,0,0,0,ESFP
2162,0,Dev,0,1,1,0,1,1,0,1,ENFJ
2163,0,Dev,0,1,1,1,1,0,1,0,ESTP
2164,0,Dev,0,1,1,0,1,0,0,0,ESFP
2165,0,Dev,0,1,0,1,1,1,1,0,ENTP
2166,0,Dev,0,1,1,0,1,0,0,0,ESFP
2167,0,Dev,0,1,1,0,1,0,1,1,ESTJ
2168,0,Dev,0,1,0,1,0,0,0,1,ISFJ
2169,0,Dev,0,1,0,1,0,0,1,1,ISTJ
2170,0,Dev,0,1,0,0,0,0,0,1,ISFJ
2171,0,Dev,0,1,0,0,1,0,0,0,ESFP
2172,0,Dev,1,1,0,0,0,0,0,0,ISFP
2173,0,Dev,0,1,1,1,1,1,1,0,ENTP
2174,0,Dev,1,0,0,1,1,0,1,1,ESTJ
2175,0,Dev,0,1,0,1,1,0,0,0,ESFP
2176,0,Dev,0,0,1,0,0,1,0,0,INFP
2177,0,Dev,0,0,0,1,0,1,0,0,INFP
2178,0,Dev,0,0,1,1,1,1,0,0,ENFP
2179,0,Dev,1,1,0,1,0,1,0,1,INFJ
2180,0,Dev,0,1,0,1,0,1,1,0,INTP
2181,0,Dev,0,1,0,1,1,0,0,0,ESFP
2182,0,Dev,0,1,0,0,1,0,1,1,ESTJ
2183,0,Dev,0,1,0,0,1,0,1,1,ESTJ
2184,0,Dev,0,1,0,1,1,0,1,0,ESTP
2185,0,Dev,1,0,0,0,0,0,0,1,ISFJ
2186,0,Dev,1,1,0,0,1,1,1,0,ENTP
2187,0,Dev,0,1,0,1,1,1,0,1,ENFJ
2188,0,Dev,0,1,0,1,0,0,0,0,ISFP
2189,0,Dev,0,1,0,1,1,0,1,0,ESTP
2190,0,Dev,0,1,0,1,0,0,0,1,ISFJ
2191,0,Dev,0,1,0,1,1,0,0,1,ESFJ
